year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,date
1975,6,28,18,34.0,-77.0,tropical depression,0.0,30,1006,125.47454275827978,4.555116164112704,1975-06-28
1975,7,26,0,31.0,-75.0,tropical depression,0.0,30,1005,125.47454275827978,4.555116164112704,1975-07-26
1975,9,1,0,25.1,-98.3,tropical depression,0.0,30,1000,125.47454275827978,4.555116164112704,1975-09-01
1975,9,24,0,35.5,-84.3,tropical depression,0.0,30,999,125.47454275827978,4.555116164112704,1975-09-24
1975,9,25,0,23.8,-57.2,tropical depression,0.0,30,1005,125.47454275827978,4.555116164112704,1975-09-25
1975,9,24,12,12.9,-40.0,tropical depression,0.0,30,1010,125.47454275827978,4.555116164112704,1975-09-24
1975,10,26,12,31.8,-79.6,tropical depression,0.0,30,1005,125.47454275827978,4.555116164112704,1975-10-26
1975,10,27,12,35.7,-73.8,tropical storm,0.0,45,1004,125.47454275827978,4.555116164112704,1975-10-27
1975,8,31,18,24.8,-98.0,tropical storm,0.0,55,993,125.47454275827978,4.555116164112704,1975-08-31
1975,7,2,18,37.3,-64.1,tropical storm,0.0,60,986,125.47454275827978,4.555116164112704,1975-07-02
1975,7,27,0,35.0,-71.0,tropical storm,0.0,60,992,125.47454275827978,4.555116164112704,1975-07-27
1975,9,4,0,42.8,-42.0,tropical storm,0.0,60,995,125.47454275827978,4.555116164112704,1975-09-04
1975,9,22,0,23.6,-88.9,tropical storm,0.0,60,995,125.47454275827978,4.555116164112704,1975-09-22
1975,9,25,18,25.5,-59.4,tropical storm,0.0,60,993,125.47454275827978,4.555116164112704,1975-09-25
1975,9,25,12,15.4,-43.0,tropical storm,0.0,60,1000,125.47454275827978,4.555116164112704,1975-09-25
1975,7,28,0,39.3,-67.2,hurricane,1.0,75,980,260.7875894988067,65.74582338902148,1975-07-28
1975,9,27,18,37.4,-65.0,hurricane,1.0,90,985,260.7875894988067,65.74582338902148,1975-09-27
1975,9,3,12,41.1,-43.0,hurricane,1.0,95,965,260.7875894988067,65.74582338902148,1975-09-03
1975,8,31,6,24.1,-97.5,hurricane,2.0,100,963,261.2996389891697,75.57761732851985,1975-08-31
1975,9,23,12,30.2,-86.3,hurricane,2.0,110,955,261.2996389891697,75.57761732851985,1975-09-23
1975,10,2,18,37.8,-67.0,hurricane,3.0,120,939,270.45893719806764,82.27053140096618,1975-10-02
1976,10,22,18,19.1,-55.8,tropical depression,0.0,25,1006,125.47454275827978,4.555116164112704,1976-10-22
1976,8,6,18,26.0,-73.4,tropical depression,0.0,30,1009,125.47454275827978,4.555116164112704,1976-08-06
1976,8,18,12,31.7,-68.2,tropical depression,0.0,30,1007,125.47454275827978,4.555116164112704,1976-08-18
1976,8,19,6,24.8,-82.0,tropical depression,0.0,30,1003,125.47454275827978,4.555116164112704,1976-08-19
1976,8,22,6,15.8,-55.2,tropical depression,0.0,30,1009,125.47454275827978,4.555116164112704,1976-08-22
1976,8,20,18,40.8,-61.0,tropical storm,0.0,40,997,125.47454275827978,4.555116164112704,1976-08-20
1976,8,20,6,29.6,-80.0,tropical storm,0.0,45,996,125.47454275827978,4.555116164112704,1976-08-20
1976,10,25,12,30.4,-55.7,tropical storm,0.0,50,1000,125.47454275827978,4.555116164112704,1976-10-25
1976,8,10,6,41.0,-73.2,tropical storm,0.0,60,983,125.47454275827978,4.555116164112704,1976-08-10
1976,8,25,6,26.0,-63.4,tropical storm,0.0,60,991,125.47454275827978,4.555116164112704,1976-08-25
1976,10,25,0,27.2,-57.5,hurricane,0.0,65,995,125.47454275827978,4.555116164112704,1976-10-25
1976,8,23,18,44.4,-51.2,hurricane,1.0,80,971,260.7875894988067,65.74582338902148,1976-08-23
1976,8,30,12,34.9,-52.0,hurricane,1.0,90,975,260.7875894988067,65.74582338902148,1976-08-30
1976,8,9,6,32.5,-75.2,hurricane,2.0,105,959,261.2996389891697,75.57761732851985,1976-08-09
1977,9,9,0,34.8,-80.2,tropical depression,0.0,25,1012,125.47454275827978,4.555116164112704,1977-09-09
1977,8,30,0,26.9,-89.4,tropical depression,0.0,30,1009,125.47454275827978,4.555116164112704,1977-08-30
1977,9,7,18,34.9,-73.0,tropical depression,0.0,30,1010,125.47454275827978,4.555116164112704,1977-09-07
1977,9,27,6,30.2,-67.9,tropical depression,0.0,30,1005,125.47454275827978,4.555116164112704,1977-09-27
1977,10,14,0,29.0,-64.0,tropical depression,0.0,30,1008,125.47454275827978,4.555116164112704,1977-10-14
1977,10,18,12,17.5,-86.6,tropical depression,0.0,30,1006,125.47454275827978,4.555116164112704,1977-10-18
1977,8,30,12,26.7,-90.3,tropical storm,0.0,50,1003,125.47454275827978,4.555116164112704,1977-08-30
1977,9,5,18,29.8,-91.6,tropical storm,0.0,50,1000,125.47454275827978,4.555116164112704,1977-09-05
1977,10,14,18,35.9,-64.4,tropical storm,0.0,50,999,125.47454275827978,4.555116164112704,1977-10-14
1977,10,18,0,17.3,-85.0,tropical storm,0.0,50,1006,125.47454275827978,4.555116164112704,1977-10-18
1977,9,9,6,34.8,-63.5,tropical storm,0.0,60,1000,125.47454275827978,4.555116164112704,1977-09-09
1977,9,28,6,34.4,-60.8,tropical storm,0.0,60,992,125.47454275827978,4.555116164112704,1977-09-28
1977,9,5,6,28.7,-91.4,hurricane,0.0,65,995,125.47454275827978,4.555116164112704,1977-09-05
1977,9,9,0,35.5,-64.6,hurricane,0.0,65,998,125.47454275827978,4.555116164112704,1977-09-09
